approach,precision,recall,f1_score,true_positives,false_positives,false_negatives,candidate_pairs,true_links_total,true_links_retained_after_blocking,missed_true_links_after_blocking,blocking_recall,blocking_reduction_ratio,review_needed_pairs,pairs_reviewed,review_workload_percent,workload_reduction_vs_full_review,auto_matches,auto_non_matches,review_pending_pairs,estimated_review_seconds,runtime_seconds
manual_blocked_benchmark,1.0,0.9984,0.9991993594875901,4992,0,8,151017,5000,4992,8,0.9984,0.99395932,952,151017,1.0,0.0,0,0,0,2265255.0,6.552034199936315
ai_only,1.0,0.8056,0.8923349579087283,4028,0,972,151017,5000,4992,8,0.9984,0.99395932,952,0,0.0,1.0,4028,146037,952,0.0,6.552034199936315
ai_hitl_simulated,1.0,0.9936,0.9967897271268058,4968,0,32,151017,5000,4992,8,0.9984,0.99395932,952,952,0.0063039260480608145,0.9936960739519392,4028,146037,0,14280.0,6.552034199936315
ai_hitl_review_file,1.0,0.8056,0.8923349579087283,4028,0,972,151017,5000,4992,8,0.9984,0.99395932,952,0,0.0,1.0,4028,146037,952,0.0,6.552034199936315
