Precision,Recall,F1-score,False positives,False negatives,Method,Reviewed pairs,Runtime seconds,Best CV F1-score,Best parameters
0.9927942353883107,0.9935897435897436,0.9931918301962355,9,8,Logistic Regression,0,0.040250100020784885,0.98989898989899,{'C': 10.0}
0.9734789391575663,1.0,0.9865612648221344,34,0,Random Forest,0,0.11984649999067187,0.98989898989899,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 60}"
0.8975290697674418,0.9895833333333334,0.9413109756097561,141,13,Gradient Boosting,0,0.07655090000480413,0.9713804713804715,"{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 50}"
