Method,Role,Dataset,Precision,Recall,F1-score,False positives,False negatives,Candidate pairs reviewed,Review workload percentage,Estimated review time,Training labels used,Evaluation scope,Key interpretation
Human-only Clerical Review Baseline,Primary baseline,FEBRL4,1.0,1.0,1.0,0,0,151017,100.0,"2,265,255 seconds",151017,Ideal clerical review over candidate pairs,Highest review burden because every candidate pair is manually resolved.
AI-only ML Matcher,Primary AI-only comparison,FEBRL4,0.9927942353883107,0.9935897435897436,0.9931918301962355,9,8,0,0.0,0 seconds,100,Frozen active-learning test set,Tuned ML classifier without further active-learning review batches.
AI + HITL Active Learning Matcher,Primary proposed method,FEBRL4,0.9967923015236567,0.9959935897435898,0.9963927855711423,4,5,550,0.3641974082388076,"8,250 seconds",550,Frozen active-learning test set,Main proposed method: uncertain reviewed labels are added in batches and the classifier retrains.
