Method,Best CV F1-score,Best parameters,Tuning runtime seconds,Selection note
Logistic Regression,0.98989898989899,{'C': 10.0},0.10472849998041056,Tuned on active-learning seed labels only; frozen test set is not used for model selection.
Random Forest,0.98989898989899,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 60}",6.755624599987641,Tuned on active-learning seed labels only; frozen test set is not used for model selection.
Gradient Boosting,0.9713804713804715,"{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 50}",1.1285488000139594,Tuned on active-learning seed labels only; frozen test set is not used for model selection.
