Precision,Recall,F1-score,False positives,False negatives,Round,Strategy,Classifier,Labelled pairs,New labels added,Unlabelled pairs remaining
0.9927942353883107,0.9935897435897436,0.9931918301962355,9,8,0,Active Learning,Logistic Regression,100,0,113162
0.9975845410628019,0.9927884615384616,0.9951807228915662,3,9,1,Active Learning,Logistic Regression,250,150,113012
0.9967871485943776,0.9943910256410257,0.99558764540714,4,7,2,Active Learning,Logistic Regression,400,150,112862
0.9967923015236567,0.9959935897435898,0.9963927855711423,4,5,3,Active Learning,Logistic Regression,550,150,112712
0.9967897271268058,0.9951923076923077,0.9959903769045709,4,6,4,Active Learning,Logistic Regression,700,150,112562
0.9967923015236567,0.9959935897435898,0.9963927855711423,4,5,5,Active Learning,Logistic Regression,850,150,112412
0.9959935897435898,0.9959935897435898,0.9959935897435898,5,5,6,Active Learning,Logistic Regression,1000,150,112262
0.9951961569255404,0.9959935897435898,0.9955947136563876,6,5,7,Active Learning,Logistic Regression,1150,150,112112
0.9951961569255404,0.9959935897435898,0.9955947136563876,6,5,8,Active Learning,Logistic Regression,1300,150,111962
